category,question,answer
대학소개#기획실,세명대학교 직원현황을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 직원현황""}, {""type"": ""text"", ""text"": ""직원현황\n<table style=\""text-align:center; width:100%\"" border=1>  <colgroup>  <col>  <col style=\""width: 60%;\""> </colgroup> <thead>  <tr>   <th scope=\""col\"">구분</th>   <th scope=\""col\"">인원 수</th>  </tr> </thead> <tbody>  <tr>   <td>일반직</td>   <td>105</td>  </tr>  <tr>   <td>기술직</td>   <td>14</td>  </tr>  <tr>   <td>기타</td>   <td>39</td>  </tr>  <tr>   <td>계</td>   <td>158</td>  </tr> </tbody></table>""}]}]"
대학소개#기획실,세명대학교 학생현황을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 학생현황""}, {""type"": ""text"", ""text"": ""원하는 버튼을 눌러주세요.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""postback"", ""text"": ""학부생"", ""value"": ""우리학교 학부생현황을 알려줘""}, {""type"": ""postback"", ""text"": ""대학원생"", ""value"": ""우리학교 대학원생현황을 알려줘""}]}]}]"
대학소개#기획실,세명대학교 학부생현황을 알려줘.,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 학부생현황""}, {""type"": ""text"", ""text"": ""학부생현황\n <table style=\""text-align:center; width:100%\"" border=1>   <colgroup>   <col>   <col>   <col style=\""width: 33%;\"">  </colgroup>  <thead>   <tr>    <th colspan=\""2\"" scope=\""col\"">구분</th>    <th scope=\""col\"">인원 수</th>   </tr>  </thead>  <tbody>   <tr>    <td rowspan=\""4\"">재학생</td>    <td>1학년</td>    <td>2,048</td>   </tr>   <tr>    <td>2학년</td>    <td>1,854</td>   </tr>   <tr>    <td>3학년</td>    <td>1,821</td>   </tr>   <tr>    <td>4학년</td>    <td>1,822</td>   </tr>   <tr>    <td colspan=\""2\"">재학생 합계</td>    <td>7,545</td>   </tr>   <tr>    <td>졸업생</td>    <td>2018년</td>    <td>1,471</td>   </tr>   <tr>    <td colspan=\""2\"">총 졸업생 누계</td>    <td>33,654</td>   </tr>  </tbody> </table>""}]}]"
대학소개#기획실,세명대학교 대학원생현황을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 대학원생현황""}, {""type"": ""text"", ""text"": ""대학원생현황\n <table style=\""text-align:center; width:100%\"" border=1>   <colgroup>   <col>   <col>   <col>   <col style=\""width: 33%;\"">  </colgroup>  <thead>   <tr>    <th colspan=\""3\"" scope=\""col\"">구분</th>    <th scope=\""col\"">인원 수</th>   </tr>  </thead>  <tbody>   <tr>    <td rowspan=\""5\"">재학생</td>    <td rowspan=\""2\"">대학원</td>    <td>석사</td>    <td>87</td>   </tr>   <tr>    <td>박사</td>    <td>57</td>   </tr>   <tr>    <td>교육대학원</td>    <td>석사</td>    <td>0</td>   </tr>   <tr>    <td>경영행정복지대학원</td>    <td>석사</td>    <td>82</td>   </tr>   <tr>    <td>저널리즘스쿨대학원</td>    <td>석사</td>    <td>32</td>   </tr>   <tr>    <td colspan=\""3\"">재학생 합계</td>    <td>258</td>   </tr>   <tr>    <td>졸업생</td>    <td colspan=\""2\"">2018년</td>    <td>64</td>   </tr>   <tr>    <td colspan=\""3\"">총 졸업생 누계</td>    <td scope=\""col\"">2,083</td>   </tr>  </tbody> </table>""}]}]"
대학소개#기획실,세명대학교 시설현황을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 시설현황""}, {""type"": ""text"", ""text"": ""원하시는 버튼을 눌러주세요.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""postback"", ""text"": ""기본시설"", ""value"": ""우리학교 기본시설을 알려줘""}, {""type"": ""postback"", ""text"": ""지원시설"", ""value"": ""우리학교 지원시설을 알려줘""}, {""type"": ""postback"", ""text"": ""연구시설"", ""value"": ""우리학교 연구시설을 알려줘""}, {""type"": ""postback"", ""text"": ""부속시설"", ""value"": ""우리학교 부속시설을 알려줘""}, {""type"": ""postback"", ""text"": ""기타시설"", ""value"": ""우리학교 기타시설을 알려줘""}]}]}]"
대학소개#기획실,세명대학교 기본시설을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 기본시설""}, {""type"": ""text"", ""text"": ""<table style=\""text-align:center; width:100%\"" border=1>      <colgroup>        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col>      </colgroup>      <thead>      <tr>        <th scope=\""col\"" colspan=\""3\"">주요시설</th>        <th scope=\""col\"">규모</th>      </tr>     </thead>      <tbody>       <tr>           <th scope=\""row\"" rowspan=\""17\"">기본시설</th>           <th scope=\""row\"" colspan=\""2\"">대학본관</th>           <td>총장실, 교무연구처, 기획실, 사무처, 입학관리처, 산학협력단</td>       </tr>            <tr>         <th scope=\""row\"" colspan=\""2\"">인문학관</th>         <td>디지털컨텐츠창작학과, 미디어문화학부, 국제언어문화학부</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">사회과학관</th>         <td>호텔관광경영학과, 관광경영학과, 호텔경영학과, 외식경영학과, 사회복지학과, 글로벌경영학부, 부동산학과, 광고홍보학과, 법학과</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">공학관</th>         <td>전기공학과, 소방방재학과, 전자공학과, 보건안전공학과, 공연영상학과, 종합영상센터</td>       </tr>       <tr>        <th scope=\""row\"" colspan=\""2\"">이학관</th>         <td>작업치료학과,바이오식품산업학부, 간호학과, 임상병리학과, 동아리실</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">이공학관</th>         <td >토목공학과, 건축공학과, 바이오제약산업학부, 화장품·뷰티  생명공학부,바이오환경공학과, 산업기술연구소, 환경기술연구센터</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">전산정보학관</th>         <td >컴퓨터학부, 전자상거래학과, 정보통신학부, 디지털정보원</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">디자인학관</th>         <td >융합디자인학부,대학교육혁신본부</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">문화관</th>         <td >대학원, 교육대학원, 경영행정복지대학원, 저널리즘스쿨대학원, 대외협력처, 국제교육원, 평생교육원</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">한의학관</th>         <td >한의과대학, 한의학연구소, 생명윤리위원회</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">학술관</th>         <td >경찰공공행정학부, 교양대학, 지역문화연구소, 인문사회연구소, 세미나실, 회의실</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">비룡학사</th>         <td >생활체육학과</td>       </tr>       <tr>         <th scope=\""row\"" rowspan=\""3\"">민송<br>도서관</th>         <th scope=\""row\"">면적</th>         <td >11,433㎡  (지하1층, 지상5층)</td>       </tr>       <tr>         <th scope=\""row\"">열람좌석, 보유장서</th>         <td >약1,500여석, 50여만권  보유</td>       </tr>       <tr>         <th scope=\""row\"">부대시설</th>         <td >열람실, 스터디룸, 잡카페, 멀티미디어실, 정기간행물실, 休&amp;Work, 개가자료실, 종합자료실, 공자학원  등</td>       </tr>        <tr>         <th scope=\""row\"" rowspan=\""2\"">교수학생<br>회관</th>         <th scope=\""row\"">면적</th>         <td >6,034㎡  (지하1층, 지상5층)</td>       </tr>       <tr>         <th scope=\""row\"">부대시설</th>         <td >취업지원처, 학생처, CHARM케어 센터, 예비군연대, 편집방송국, 신한은행, 우편취급국, 보건진료소, 안경원, 미용실, 학생식당, 총학생회, 대의원회, 동아리연합회, 졸업준비위원회, 동아리실</td>       </tr>      </tbody>   </table>""}]}]"
대학소개#기획실,세명대학교 지원시설을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 지원시설""}, {""type"": ""text"", ""text"": ""<table style=\""text-align:center; width:100%\"" border=1>      <colgroup>        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col>      </colgroup>      <thead>      <tr>        <th scope=\""col\"" colspan=\""3\"">주요시설</th>        <th scope=\""col\"">규모</th>      </tr>     </thead>      <tbody>        <tr>           <th scope=\""row\"" rowspan=\""17\"">지원시설</th>           <th scope=\""row\"" rowspan=\""2\"">세명체육관</th>                   <th scope=\""row\"">면적</th>           <td >5,813㎡  (지하1층, 지상2층), 수용인원  1,800여명</td>       </tr>       <tr>         <th scope=\""row\"">부대시설</th>         <td >배구장, 농구장, 족구장, 배드민턴장, 탁구장, 에어로빅실, 스쿼시장, 체력단련실, 샤워실, 탈의실  등</td>       </tr>                <tr>           <th scope=\""row\"" rowspan=\""2\"">골프연습장</th>           <th scope=\""row\"">면적</th>           <td >1,288㎡  (지상2층)</td>       </tr>       <tr>         <th scope=\""row\"">부대시설</th>         <td >40타석, 스크린골프실, 첨단강의실  등</td>       </tr>        <tr>           <th scope=\""row\"" rowspan=\""2\"">유도관</th>           <th scope=\""row\"">면적</th>           <td >504㎡  (지상1층)</td>       </tr>       <tr>         <th scope=\""row\"">부대시설</th>         <td >유도관  2면, 기자재실, 샤워실, 탈의실  등</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">대운동장</th>         <td >24,400㎡            <ul >              <li>인조잔디 축구장(105*68) 1면</li>              <li>육상트랙  (직선100m-8Lane, 곡선400m-4Lane)</li>            </ul>         </td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">소운동장</th>         <td >11,300㎡            <ul >              <li> 축구장 1면, 풋살구장  2면</li>            </ul>          </td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">테니스장</th>         <td >4,700㎡  (6면)</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">농구장</th>         <td >2,460㎡  (4면)</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">족구장</th>         <td >980㎡  (2면)</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">배드민턴장</th>         <td >144㎡  (1면)</td>       </tr>           <tr>           <th scope=\""row\"" rowspan=\""3\"">학생생활관</th>           <th scope=\""row\"">면적</th>           <td >68,605㎡  (전체 6동)</td>       </tr>       <tr>           <th scope=\""row\"">수용인원</th>           <td >3,488명</td>       </tr>       <tr>           <th scope=\""row\"">부대시설</th>           <td >첨단강의실, 컴퓨터실, 일반강의실, 다목적실, 식당, 카페테리아, 체력단련실, 휴게실, 사생회실, 샤워실, 세탁실 등</td>       </tr>       <tr>           <th scope=\""row\"" rowspan=\""2\"">하늘공연장</th>           <th scope=\""row\"">면적</th>           <td >247㎡  (지상1층)</td>       </tr>       <tr>           <th scope=\""row\"">부대시설</th>           <td >공연장, 대기실, 장비실  등</td>       </tr>      </tbody>   </table>""}]}]"
대학소개#기획실,세명대학교 연구시설을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 연구시설""}, {""type"": ""text"", ""text"": ""<table style=\""text-align:center; width:100%\"" border=1>      <colgroup>        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col>      </colgroup>      <thead>      <tr>        <th scope=\""col\"" colspan=\""3\"">주요시설</th>        <th scope=\""col\"">규모</th>      </tr>     </thead>      <tbody>       <tr>           <th scope=\""row\"" rowspan=\""2\"">연구시설</th>           <th scope=\""row\"" colspan=\""2\"">한의학연구소</th>           <td >한방바이오산업임상지원센터</td>       </tr>       <tr>                    <th scope=\""row\"" colspan=\""2\"">한의학연구소 별관</th>           <td >한의학연구시설, 교수연구실, 대학원실  등</td>       </tr>                 </tbody>   </table>""}]}]"
대학소개#기획실,세명대학교 부속시설을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 부속시설""}, {""type"": ""text"", ""text"": ""<table style=\""text-align:center; width:100%\"" border=1>      <colgroup>        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col>      </colgroup>      <thead>      <tr>        <th scope=\""col\"" colspan=\""3\"">주요시설</th>        <th scope=\""col\"">규모</th>      </tr>     </thead>      <tbody>         <tr>           <th scope=\""col\"" rowspan=\""12\"">부속시설</th>           <th scope=\""row\"" colspan=\""2\"">민송기념관</th>           <td >설립자기념관, 미드필더교육실</td>       </tr>       <tr>         <th scope=\""row\"" colspan=\""2\"">지덕충관</th>         <td >학생군사교육단</td>       </tr>            <tr>           <th scope=\""row\"" rowspan=\""5\"">제천부속<br>한방병원</th>           <th scope=\""row\"">건평</th>           <td >3,783㎡  (지하1층, 지상5층)</td>       </tr>       <tr>           <th scope=\""row\"">진료과목</th>           <td >한방내과, 한방이비인후과/피부과,한방부인과, 침구과, 한방재활의학과</td>       </tr>       <tr>           <th scope=\""row\"">특수클리닉</th>           <td >중풍클리닉, 암클리닉, 불임클리닉, 동통클리닉, 갱년기장애클리닉, 척추관절클리닉, 알레지클리닉, 비만클리닉</td>       </tr>       <tr>           <th scope=\""row\"">병상수</th>           <td >70병상</td>       </tr>       <tr>           <th scope=\""row\"">기타</th>           <td >세명의원(내과,소아청소년과)</td>       </tr>             <tr>           <th scope=\""row\"" rowspan=\""5\"">충주부속<br>한방병원</th>           <th scope=\""row\"">건평</th>           <td >6,008㎡  (지하1층, 지상7층)</td>       </tr>       <tr>           <th scope=\""row\"">진료과목</th>           <td >한방내과, 한방여성의학과/소아과, 한방신경과, 침구의학과, 체질의학과,한방재활의학과</td>       </tr>       <tr>           <th scope=\""row\"">특수클리닉</th>           <td >중풍클리닉,두통클리닉, 안면마비클리닉, 비만클리닉, 근골격계클리닉,사상체질클리닉</td>       </tr>       <tr>           <th scope=\""row\"">병상수</th>           <td >72병상</td>       </tr>       <tr>           <th scope=\""row\"">기타</th>           <td >세명의원(내과, 외과, 피부과, 소아과, 방사선과, 임상병리과)</td>       </tr>           </tbody>   </table>""}]}]"
대학소개#기획실,세명대학교 기타시설을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 기타시설""}, {""type"": ""text"", ""text"": ""<table style=\""text-align:center; width:100%\"" border=1>      <colgroup>        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col style=\""width:15%\"">        <col>      </colgroup>      <thead>      <tr>        <th scope=\""col\"" colspan=\""3\"">주요시설</th>        <th scope=\""col\"">규모</th>      </tr>     </thead>      <tbody>        <tr>           <th scope=\""row\"" rowspan=\""2\"">기타시설</th>           <th scope=\""row\"" rowspan=\""2\"">창업보육<br>센터</th>           <th scope=\""row\"">면적</th>           <td >2,928㎡  (지상4층)</td>       </tr>        <tr>         <th scope=\""row\"">부대시설</th>         <td >22개  업체 입주, 세미나실, 대회의실, 상담실  등</td>       </tr>      </tbody>   </table>""}]}]"
대학소개#기획실,세명대학교 대학 요람을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 대학 요람""}, {""type"": ""text"", ""text"": ""요람집을 다운로드 하시려면 \""/파일 요람집_OOO\""을 검색하세요.\n\""요람집_국영문\"", \""요람집_대학요람\"", \""요람집_행정업무\""\nex) \""/파일 요람집_국영문\""""}]}]"
대학소개#기획실,세명대학교 예결산공고를 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 예결산공고""}, {""type"": ""text"", ""text"": ""원하는 버튼을 눌러주세요.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""postback"", ""text"": ""예산공고"", ""value"": ""우리학교 예산공고를 알려줘""}, {""type"": ""postback"", ""text"": ""결산공고"", ""value"": ""우리학교 결산공고를 알려줘""}]}]}]"
대학소개#기획실,세명대학교 예산공고를 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 예산공고""}, {""type"": ""text"", ""text"": ""해당사이트로 안내하겠습니다.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""web_url"", ""text"": ""예산공고"", ""url"": ""http://www.semyung.ac.kr/kor/sub01_04_07_01.do""}]}]}]"
대학소개#기획실,세명대학교 결산공고를 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 결산공고""}, {""type"": ""text"", ""text"": ""해당사이트로 안내하겠습니다.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""web_url"", ""text"": ""결산공고"", ""url"": ""http://www.semyung.ac.kr/kor/sub01_04_07_02.do""}]}]}]"
대학소개#재무팀,세명대학교 업무추진비 집행내역을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 업무추진비 집행내역""}, {""type"": ""text"", ""text"": ""해당사이트로 안내하겠습니다.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""web_url"", ""text"": ""업무추진비 집행내역"", ""url"": ""http://www.semyung.ac.kr/cop/bbs/BBSMSTR_000000000931/selectBoardList.do""}]}]}]"
대학소개#재무팀,세명대학교 등록금심의위원회에 대해 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 등록금심의위원회""}, {""type"": ""text"", ""text"": ""해당사이트로 안내하겠습니다.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""web_url"", ""text"": ""등록금심의위원회"", ""url"": ""http://www.semyung.ac.kr/cop/bbs/BBSMSTR_000000000711/selectBoardList.do""}]}]}]"
대학소개#기획실,세명대학교 대학평의원회에 대해 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 대학평의원회""}, {""type"": ""text"", ""text"": ""원하시는 버튼을 눌러주세요""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""postback"", ""text"": ""대학평의원회 회의"", ""value"": ""대학평의원회 회의를 안내해줘""}, {""type"": ""postback"", ""text"": ""대학평의원회 회의록"", ""value"": ""대학평의원회 회의록을 보여주세요""}]}]}]"
대학소개#기획실,대학평의원회 회의를 안내해줘,"[{""elements"": [{""type"": ""title"", ""text"": ""대학평의원회 회의""}, {""type"": ""text"", ""text"": ""해당사이트로 안내하겠습니다.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""web_url"", ""text"": ""대학평의원회 회의안내"", ""url"": ""http://www.semyung.ac.kr/cop/bbs/BBSMSTR_000000000812/selectBoardList.do""}]}]}]"
